OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292938,000024651,5,FL,Flow,4671,New,100102855,2018-02-05T14:36:10.000Z,,,Encana Corporation,OGAA,SNK,4664.16146473203
292939,000024656,1,GA,Gathering,1770,New,100103879,2018-02-09T15:30:06.000Z,,,Crew Energy Inc.,OGAA,CGWC,1771.31137473914
292940,000024657,1,GA,Gathering,278.4,New,100103890,2017-12-07T10:48:16.000Z,,,Kelt Exploration (LNG) Ltd.,OGAA,GPSD,277.874897101555
292941,000024657,2,FG,Fuel Gas,278.4,New,100103890,2017-12-07T10:48:16.000Z,,,Kelt Exploration (LNG) Ltd.,OGAA,GPSD,277.87499697067
292942,000024658,1,GA,Gathering,6293,Active,100103374,2018-01-18T12:23:36.000Z,,,Storm Resources Ltd.,OGAA,GPSD,6293.65203732531
292943,000024660,1,GA,Gathering,661.29,Active,100103895,2018-01-17T09:11:54.000Z,,,Encana Corporation,OGAA,CGWC,661.615820371199
292944,000024660,2,FG,Fuel Gas,661.82,Active,100103895,2018-01-17T09:11:54.000Z,,,Encana Corporation,OGAA,CGWC,662.145557456397
292945,000024665,1,IN,Injection,455.77,Active,100102816,2017-12-04T10:51:39.000Z,,,Catapult Environmental Inc.,OGAA,GPSD,455.879779615355
292946,000024665,2,IN,Injection,455.77,New,100102816,2018-02-21T14:44:25.000Z,,,Catapult Environmental Inc.,OGAA,GPSD,455.879779615355
292947,000024666,1,FG,Fuel Gas,851,Active,100103924,2017-12-01T12:32:35.000Z,,,Venturion Oil Limited,OGAA,GPSD,851.327444442528
292948,000024666,2,FG,Fuel Gas,493,Active,100103924,2017-12-01T12:32:35.000Z,,,Venturion Oil Limited,OGAA,GPSD,491.993680847936
292949,000024666,3,IN,Injection,492,Active,100103924,2017-12-01T12:32:35.000Z,,,Venturion Oil Limited,OGAA,GPSD,491.248515317688
292950,000024666,4,GA,Gathering,1247,Active,100103924,2017-12-01T12:32:35.000Z,,,Venturion Oil Limited,OGAA,GPSD,1247.0425636934
292951,000024670,1,GA,Gathering,7843.21,Active,100103878,2017-12-14T13:49:28.000Z,,,Yoho Resources Inc.,OGAA,GPSD,7852.36351271835
